id,Question,Response
32917,that s too bad .,too bad ?
32918,his girlfriend ?,yes his girlfriend .
32919,yes . she s disappeared hasn t she ?,yeah .
32920,yeah .,doesn t that strike you as odd ?
32921,doesn t that strike you as odd ?,no . she s probably scared to death .
32922,you didn t see mulwray much did you ?,no .
32923,no .,when was the last time ?
32924,my daughter .,what about her ?
32925,avocado groves ?,we ll be in touch mr . cross .
32926,i ve got her .,is she all right ?
32927,is she all right ?,she s fine .
32928,she s fine .,where is she ?
32929,where is she ?,with her mother .
32930,what does this mean ?,that you killed hollis mulwray .
32931,you ve got her ? where ?,do you remember the figures we discussed ?
32932,do you remember the figures we discussed ?,of course i do . where are you ?
32933,either that or she ll be in jail .,what are you talking about ?
32934,what are you talking about ?,just bring your checkbook .
32935,thanks curly . call me jake .,thanks . you know something jake ?
32936,thanks . you know something jake ?,what s that curly ?
32937,what s that curly ?,i think i ll kill her .
32938,they don t kill a guy for that .,oh they don t ?
32939,thanks mr . gittes .,call me jake . careful driving home curly .
32940,gee this is a surprise mr . gittes .,call me jake . how is everything ?
32941,sure thing .,curly where s your car ?
32942,curly where s your car ?,in the garage .
32943,in the garage .,where s that ?
32944,where s that ?,off the alley .
32945,off the alley .,could you drive me somewhere ?
32946,could you drive me somewhere ?,sure as soon as we eat .
32947,sure as soon as we eat .,right now curly . it can t wait .
32948,right now curly . it can t wait .,i ll just tell my wife .
32949,i ll just tell my wife .,tell her later .
32950,plus what i owe you ?,i ll throw that in too .
32951,i ll throw that in too .,okay you got yourself a boat .
32952,there s seven ashtrays in this room duffy .,okay .
32953,okay .,that s a filthy habit .
32954,that s a filthy habit .,i said okay jake .
32955,then what ll you do ?,sue the shit out of em .
32956,yes .,i ve been wanting to meet you .
32957,i ve been wanting to meet you .,why ?
32958,i m not .,well you own a lot of land .
32959,that s just lovely .,thank you . . .
32960,where did you get this material ?,the apple core club .
32961,the apple core club .,the apple core ?
32962,hello jake .,how are you lou ?
32963,summer colds are the worst .,yeah they are .
32964,thanks lou .,how d you get past the guards ?
32965,you ve done well by yourself .,i get by .
32966,since when ?,since i made lieutenant .
32967,looking for someone .,who ?
32968,who ?,hollis mulwray . you seen him ?
32969,hollis mulwray . you seen him ?,oh yes .
32970,oh yes .,i d like to talk to him .
32971,no .,or her name ?
32972,or her name ?,no .
32973,i don t want it anymore .,no ?
32974,no ?,no . it was an accident .
32975,what are you doing here ?,didn t you call ?
32976,didn t you call ?,how do you happen to know her ?
32977,how do you happen to know her ?,i don t .
32978,i don t .,let me show you something .
32979,i want the rest of the pictures .,what pictures ?
32980,what pictures ?,this broad hired you gittes not evelyn mulwray .
32981,this broad hired you gittes not evelyn mulwray .,yeah ?
32982,you accusing me of extortion ?,absolutely .
32983,what are you talking about ?,c mon i ll show you .
32984,it s too late .,too late for what ?
32985,too late for what ?,they only dump the water at night .
32986,i know what he says .,shut up . go on .
32987,matter of fact i do .,where ?
32988,no gittes you ll show us .,what for ?
32989,that s it ?,yeah .
32990,yeah .,well let s go .
32991,well let s go .,do me a favor will you lou ?
32992,you never learn do you gittes ?,i guess not .
32993,i guess not .,give you three minutes .
32994,give you three minutes .,gee thanks lou .
32995,of course .,obviously the fall must have knocked him out .
32996,no .,do you know where she might be ?
32997,do you know where she might be ?,certainly not !
32998,a complete surprise ?,yes .
32999,a private investigator ?,mr . gittes .
33000,mr . gittes .,well yes .
33001,would you like something to drink ?,what are you having ?
33002,what are you having ?,iced tea .
33003,iced tea .,yeah . fine thank you .
33004,what ?,i said i ll drop it .
33005,mrs . mulwray ?,yes mr . gittes ?
33006,yes mr . gittes ?,i don t want to drop it .
33007,what do you mean ?,may i speak frankly mrs . mulwray ?
33008,may i speak frankly mrs . mulwray ?,you may if you can mr . gittes .
33009,no . i went riding rather early .,looks like you went quite a distance .
33010,i ll stop by .,please call first .
33011,. . .just a minute . . .,you left your keys in the ignition .
33012,you left your keys in the ignition .,oh . . . thank you .
33013,how did you find out ?,my husband .
33014,my husband .,he told you ?
33015,unless what ?,she s cheating on him .
33016,i don t like the word cheat .,did you have affairs ?
33017,did you have affairs ?,mr . gittes .
33018,mr . gittes .,did he know ?
33019,is there anything else you want to know ?,where you were when your husband died .
33020,where you were when your husband died .,i can t tell you .
33021,i mean i can t tell you .,you were seeing someone too .
33022,k . . . cross .,that your maiden name ?
33023,that your maiden name ?,yes . . . why ?
33024,yes . . . why ?,no reason .
33025,no not for that one .,i don t believe you .
33026,how did it happen ?,been meaning to talk to you about that .
33027,another satisfied client ?,another satisfied client s wife .
33028,you ve got one going mrs . mulwray .,oh .
33029,oh yeah ?,yes . he never forgave him for it .
33030,yes . he never forgave him for it .,never forgave him for what ?
33031,you sure shout that ?,of course i m sure .
33032,that dam is a con job .,what dam ?
33033,jasper lamar crabb ?,know him ?
33034,know him ?,no i think i d remember .
33035,we got it . we got it baby .,what ? what is it ?
33036,they can t be .,they may not know it but they are .
33037,i ll stay .,get in the car .
33038,maid s night off ?,why ?
33039,i gave everybody the night off .,easy it s an innocent question .
33040,when was the last time ?,why ?
33041,it was in chinatown .,what were you doing there ?
33042,what were you doing there ?,working for the district attorney .
33043,working for the district attorney .,doing what ?
33044,boy oh boy you re a mess .,yeah .
33045,what s wrong ?,your eye .
33046,your eye .,what about it ?
33047,where ?,just . . . i have to .
33048,just . . . i have to .,and i want to know where .
33049,the albacore club .,it has to do with my father .
33050,it has to do with my father .,i know .
33051,i know .,he owns it . you know ?
33052,he owns it . you know ?,i saw him .
33053,this morning .,you didn t tell me .
33054,you didn t tell me .,there hasn t been a lot of time .
33055,it s possible .,including the death of your husband ?
33056,okay give me the keys .,you bastard .
33057,i am not !,then let s go talk to her .
33058,she s too upset .,what about ?
33059,you mean she just found out ?,yes .
33060,did you get some sleep ?,sure .
33061,where s the girl ?,upstairs . why ?
33062,upstairs . why ?,i want to see her .
33063,what did you do that for ?,you know any good criminal lawyers ?
33064,you know any good criminal lawyers ?,no . . .
33065,katherine .,katherine ? . . . katherine who ?
33066,katherine ? . . . katherine who ?,she s my daughter .
33067,i said the truth !,she s my sister .
33068,i said i want the truth .,she s my sister and my daughter !
33069,i ll take care of it .,where can we go ?
33070,where can we go ?,. . .where does kyo live ?
33071,. . .where does kyo live ?,with us .
33072,how do you know ?,he didn t wear bifocals .
33073,let me handle that .,i m all right .
33074,i m all right .,sure but i d like to handle it .
33075,walsh here ?,he s in the dark room .
33076,but mr . gittes .,sophie .
33077,sophie .,yes mr . gittes .
33078,sophie .,yes mr . gittes .
33079,i think i got something .,oh yeah ? you pick up the watch ?
33080,the obituary column ?,you ll find one of those people .
33081,you ll find one of those people .,those people ? miss sessions .
33082,yeah sophie .,a miss sessions calling .
33083,a miss sessions calling .,who ?
33084,who ?,ida sessions .
33085,ida sessions .,don t know her . take a number .
33086,perhaps if we could meet your father .,there s just one question .
33087,there s just one question .,of course .
33088,of course .,do you accept anyone of the jewish persuasion ?
33089,that s exactly what we wanted to hear .,oh good .
33090,and mulwray isn t ?,he never even kids about it .
33091,he never even kids about it .,maybe he takes it very seriously .
33092,i m sorry i,well tell him i ll be back .
33093,i never was .,i don t understand .
33094,i said the northwest valley .,that s like saying they re in arizona .
33095,you re a married man am i right ?,yes . . .
33096,mr . gittes ?,yes ?
33097,yes ?,do you know me ?
33098,have we ever met ?,well no .
33099,well no .,never ?
33100,never ?,never .
33101,speak english ? . . . habla ingles ?,si .
33102,the water .,what about the water ?
33103,what about the water ?,when it comes .
33104,yeah . banged up pretty bad .,that s a long fall .
33105,that s a long fall .,so how are you morty ?
33106,yeah .,drowned too .
33107,it s bone dry morty .,it s not completely dry .
33108,gittes ? . . . gittes ?,yeah .
33109,yeah .,ida sessions wants to see you .
33110,ida sessions wants to see you .,who ?
33111,yeah ? . . . i do ?,sure you do .
33112,how do you do mrs . mulwray ?,mr . gittes . . .
33113,no really ?,i m afraid so .
33114,i m afraid so .,i am sorry .
33115,mrs . mulwray do you love your husband ?,. . .yes of course .
33116,. . .yes of course .,then go home and forget about it .
33117,then go home and forget about it .,but . . .
33118,hollis . hollis mulwray .,water and power ?
33119,no problem with me on the job .,yeah . do you have any references ?
33120,mr . mulwray please .,he s not in mr . ?
33121,he s not in mr . ?,gittes .
33122,gittes .,may i ask what this is regarding ?
33123,since lunch .,gee whiz . and i m late .
33124,gee whiz . and i m late .,he was expecting you ?
33125,julian cross worked for the water department ?,yes . no .
33126,yes . no .,he did or he didn t ?
33127,he did or he didn t ?,he owned it .
33128,he owned the water department ?,yes .
33129,yes .,how did they get it away from him ?
33130,along with mr . mulwray .,they were partners .
33131,they were partners .,yes . yes they were partners .
33132,apple core ?,yeah .
33133,so he says you sent them ?,they re all a bunch of phonies .
33134,neither do i .,no you have a press agent do it .
33135,not exactly .,but that s what you told your wife .
33136,she must be about thirty three thirty four .,you must be thinking of a different daughter .
33137,course she settled down nicely .,well you never know do you ?
33138,well you never know do you ?,that s for sure .
33139,that s for sure .,why d she run away ?
33140,you understand which side the gelatin s on ?,it tastes wonderful !
33141,any room for me in this cinema paradiso ?,come in alfredo .
33142,chaplin s modern times ! right toto ?,that s right modern times .
33143,did you ever see her again ?,no . and nobody knows where she is .
33144,you understand now ? you see it clearly ?,oh yes father . now everything s clear .
33145,my name s salvatore . . .and yours ?,elena . my name s elena .
33146,hi elena !,hi . why are you running ?
33147,father i have sinned . . .,we ll talk about that later .
33148,we ll talk about that later .,but . . .who . . .
33149,i don t care . i ll wait .,for what ?
33150,no . . .,then where s the money ?
33151,then where s the money ?,somebody stole it .
33152,mr . bernstein mr . thatcher,how are you mr . thatcher ?
33153,he sure did mr . kane .,where is he ?
33154,mr . kane,that s all right mr . bernstein .
33155,go on !,that s all there is .
33156,three cents .,two cents .
33157,i can t take shorthand mr . kane,i ll write it myself .
33158,ask them to sit down mr . bernstein .,sit down everybody for heaven s sake !
33159,enthusiastic ?,yes very ! naturally .
33160,yes very ! naturally .,well well isn t that nice ?
33161,who else you been to see ?,well i went down to atlantic city
33162,you know why ? she was so,sure sure .
33163,sure sure .,i m going back there .
33164,i m going back there .,who else did you see ?
33165,wasted ?,charlie ? !
33166,sixty two thousand,that looks pretty nice .
33167,do you mr . leland ?,certainly not .
33168,isn t it wonderful ? such a party !,yes .
33169,do you mr . leland ?,certainly not .
33170,hello mr . leland .,hello bernstein .
33171,mr . kane is finishing it .,kane ? charlie ? where is he ?
33172,how do you do mr . leland ?,are they standing for me ?
33173,mr . kane this is a surprise !,we ve got a nice plant here .
33174,and the notice ?,yes mr . kane .
33175,yes mr . kane .,is it good ?
33176,is it good ?,yes mr . kane .
33177,it isn t finished ?,no mr . kane .
33178,no mr . kane .,that s leland isn t it ?
33179,that s leland isn t it ?,yes mr . kane .
33180,yes mr . kane .,has he said when he ll finish ?
33181,has he said when he ll finish ?,we haven t heard from him .
33182,hello brad,emily
33183,it can wait .,no it can t . good night darling .
33184,you can t blackmail me rogers you can t,charlie he said unless you withdrew your name
33185,get out both of you !,charlie please don t
33186,ow !,what s the matter with you ?
33187,what s the matter with you ?,toothache .
33188,toothache .,hmm !
33189,oh !,you re no venus de milo .
33190,i m sorry . they live here too ?,no . they ve passed on .
33191,where s the soap ?,in the water .
33192,where s the towel ?,on the chiffonier . here .
33193,on the chiffonier . here .,thanks .
33194,a chicken ?,no . but you re close .
33195,no . but you re close .,a rooster ?
33196,oh me,how old did you say you were ?
33197,how old did you say you were ?,i didn t say .
33198,i work at seligman s .,is that what you want to do ?
33199,charlie ! i said what time is it ?,half past eleven .
33200,half past eleven .,i mean in new york .
33201,i mean in new york .,half past eleven .
33202,half past eleven .,at night ?
33203,susan it seems to me,don t tell me you re sorry .
33204,don t tell me you re sorry .,i m not sorry .
33205,i m not sorry .,i m going to leave you .
33206,i m going to leave you .,no you re not .
33207,no you re not .,yes .
33208,i won t let you go .,you can t stop me .
33209,goodbye charlie .,don t go susan .
33210,mr . kane how can i persuade you,you can t .
33211,you goin mom ?,your mother won t be going right away charles
33212,your mother won t be going right away charles,where m i going ?
33213,as charles foster kane who has,
33214,get dr . corey .,yes sir .
33215,close the door raymond .,yes sir .
33216,yes sir .,lock it and keep it locked .
33217,raymond,yes sir
33218,do you like poetry raymond ?,can t say sir .
33219,can t say sir .,mrs . kane liked poetry
33220,yes mr . kane .,not my wife not either of them .
33221,oh yes sir .,do you know what that is ?
33222,tired ?,it s been a tough day .
33223,it s been a tough day .,a wasted day .
33224,say brad . i ve got an idea .,yes ?
33225,charlie,yes ?
33226,charlie,yes ?
33227,what ?,i ve got to think of emily
33228,first of all,what s wrong brad ?
33229,what s wrong brad ?,i m drunk .
33230,i m drunk .,i ll get you some coffee .
33231,all right .,she s going to leave you
33232,we ll withdraw support completely . anything else ?,mr . leland sent back that check .
33233,mr . leland sent back that check .,what check ?
33234,oh yes the bonus .,it was for twenty five thousand dollars .
33235,that s what you think is it jim ?,yes .
33236,what s this ?,it s a letter from her lawyers .
33237,it s a letter from her lawyers .,david grobleski davis my dear rawlston
33238,david grobleski davis my dear rawlston,rawlston is my boss .
33239,brief marriage ! ten years !,was he in love ?
33240,where do i sign mr . thatcher ?,right here mrs . kane .
33241,charles my name is mr . thatcher,this is mr . thatcher charles .
33242,this is mr . thatcher charles .,how do you do charles ?
33243,thompson !,yes sir .
33244,sentimental fellow aren t you ?,yes and no .
33245,yes and no .,well thanks a lot .
33246,millions if anybody wants it .,the banks are out of luck eh ?
33247,how did you meet him ?,i had a toothache .
33248,what did you get ?,what do you mean ?
33249,are you sure ?,am i sure ?
33250,am i sure ?,are you sure ?
33251,are you sure ?,am i sure about what ?
33252,am i sure about what ?,do you really want to buy those cigarettes ?
33253,do you really want to buy those cigarettes ?,are you serious ?
33254,are you serious ?,how long have you been smoking ?
33255,how long have you been smoking ?,what is this a poll ?
33256,you re shittin me .,you think i m shitting you . . .
33257,pack of cigarettes . what s that ?,this ? how long have you been smoking ?
33258,thanks . have a good one .,do you mind if i drink this here ?
33259,do you mind if i drink this here ?,sure . go ahead .
33260,beats me .,how long have you been a smoker ?
33261,she said not to come home until graduation .,wow you got thrown out ? for dante ?
33262,can i watch ?,you can hold me down .
33263,you can hold me down .,can i join in ?
33264,dick .,exactly .
33265,exactly .,so where is he ?
33266,god isn t he great ?,no this is great .
33267,no this is great .,can i use the bathroom ?
33268,can i use the bathroom ?,there s no light back there .
33269,there s no light back there .,why aren t there any lights ?
33270,territoriality . he was mine first .,awww . that was so cute .
33271,i was here the whole time .,you two better quit it .
33272,nobody ! i swear !,i feel nauseous .
33273,why ?,no don t !
33274,when did you get back ?,just now .
33275,train . it took eight hours .,i can t believe you re here .
33276,you saw it ?,very dramatic i thought .
33277,very dramatic i thought .,it s not what you think .
33278,and you said yes ?,well . . . kind of sort of ?
33279,so you re really getting married ?,no .
33280,no .,no you re not really getting married ?
33281,thanks for the vote of confidence .,was i right ?
33282,i m giving him his ring back .,what ?
33283,sang ? his name is a past tense ?,stop it . he s a nice guy .
33284,i just told you .,there s more isn t there ?
33285,there s more isn t there ?,why mr . hicks whatever do you mean ?
33286,you lie .,look how full of yourself you are .
33287,good . stay in that frame of mind .,but can we date ?
33288,let me take you out tonight .,you mean on a date ?
33289,what about sing ?,sang .
33290,sang .,sang .
33291,sang .,he s not invited .
33292,he s not invited .,he s your fiance .
33293,so what are you saying ?,you re such an asshole .
33294,you re such an asshole .,i m just kidding .
33295,how d you get here so fast ?,i left like an hour ago .
33296,promise me it ll always be like that .,like what ?
33297,it wasn t me .,yeah right . who was it randal ?
33298,yeah right . who was it randal ?,was it you ?
33299,we did .,then who operated the store ?
33300,then who operated the store ?,nobody . it was closed .
33301,nobody . it was closed .,with this guy locked in ?
33302,are you open ?,yeah .
33303,yeah .,pack of cigarettes .
33304,i can pass !,how bout covering point ! ? you suck !
33305,who are you to make assessments ?,i ll assess all i want !
33306,like you re better !,i can whip your ass .
33307,are you open ?,yes .
33308,pack of cigarettes .,what s your point ?
33309,cute cat . what s his name .,peptic ulcer .
33310,you open ?,yeah .
33311,you only brought one ball ? !,i thought redding had like three balls !
33312,the boss called . arthur fell ill .,why are the shutters closed ?
33313,why are the shutters closed ?,someone jammed gum in the locks .
33314,someone jammed gum in the locks .,bunch of savages in this town .
33315,bunch of savages in this town .,that s what i said .
33316,what smells like shoe polish ?,go open the sore .
33317,want something to drink ? i m buying .,no thanks .
33318,why ?,i wanted to use your car .
33319,you don t want to know .,you called caitlin again ?
33320,you called caitlin again ?,she called me .
33321,she called me .,did you tell veronica ?
33322,eight and a half .,eight and a half ?
33323,she called you brad ?,she called me brad .
33324,oh my god .,great story isn t it ?
33325,great story isn t it ?,that girl was vile to you .
33326,your mother .,allan harris .
33327,allan harris .,chess team allan harris ? !
33328,that s frightening .,it takes different strokes to move the world .
33329,caitlin s on the same wave length ?,i think it s safe to say yes .
33330,empire .,blasphemy .
33331,what s that ?,all right vader s boss . . .
33332,all right vader s boss . . .,the emperor .
33333,you know what else i noticed in jedi ?,there s more ?
33334,there s more ?,so they build another death star right ?
33335,so they build another death star right ?,yeah .
33336,wait .,she s in here ?
33337,perfect dozen .,each egg has to be perfect .
33338,each egg has to be perfect .,the quest isn t going well ?
33339,let s hear it .,the milkmaids .
33340,the milkmaids .,the milkmaids ?
33341,which ones ?,all of them .
33342,no .,why not ?
33343,why not ?,because my ex girlfriend is getting married .
33344,smokey three thumbs up am i right ?,the best burtless movie ever made .
33345,vermont ?,can you believe this ? !
33346,not a fucking word ! slippery shit !,so what you re stuck here all day ?
33347,so what you re stuck here all day ?,fuck !
33348,fuck !,why d you apologize ?
33349,why d you apologize ?,what ?
33350,i m going to miss the game .,because you buckled .
33351,don t yell at me pal .,sorry .
33352,sorry .,see ? there you go again .
33353,at least we re stuck here together .,you ve got a customer .
33354,design major .,can we not talk about this ?
33355,we re not playing in the street .,then where re we gonna play ?
33356,what happened to all the gatorade ?,exactly . they drank it all .
33357,julie dwyer died .,yeah right .
33358,yeah right .,no i m serious .
33359,how ? when ?,embolism in her brain . yesterday .
33360,embolism in her brain . yesterday .,jesus .
33361,number six .,you ve had sex with a dead person .
33362,you ve had sex with a dead person .,i m gonna go to her wake .
33363,i m gonna go to her wake .,no you re not .
33364,no you re not .,why not ?
33365,why not ?,it s today .
33366,it s today .,what ! ?
33367,if you go i go .,she meant nothing to you !
33368,i m not taking you to this funeral .,i m going with you .
33369,i m going with you .,i can t close the store .
33370,she was pretty young hunhh ?,twenty two same as us .
33371,twenty two same as us .,an embolism in a pool .
33372,an embolism in a pool .,an embarrassing way to die .
33373,how d he die ?,broke his neck .
33374,broke his neck .,that s embarrassing ?
33375,shut the hell up .,bible truth .
33376,bible truth .,stop it .
33377,stop it .,i swear .
33378,i swear .,oh my god .
33379,no !,yeah sure . you re so repressed .
33380,his dick was in his mouth ?,balls resting on his lips .
33381,balls resting on his lips .,he made it hunhh ?
33382,he made it hunhh ?,yeah but at what a price .
33383,i could never reach .,reach what ?
33384,reach what ?,you know .
33385,you know .,what your dick ?
33386,so the casket fell over ! big deal !,her fucking body fell out !
33387,let me borrow your car .,i don t want to talk to you .
33388,i don t want to talk to you .,fine . just lend me your car .
33389,fine . just lend me your car .,why should i loan you my car ?
33390,why should i loan you my car ?,i want to rent a movie .
33391,i want to rent a movie .,you want to rent a movie .
33392,what s that for ?,you work in a video store !
33393,let me borrow your car .,may i be blunt with you ?
33394,may i be blunt with you ?,if you must .
33395,so your argument is that title dictates behavior ?,what ?
33396,please get the hell out of here .,i know i m your hero .
33397,and this is what you rented ?,i like to expand my horizons .
33398,no way !,five hundred dollars .
33399,five hundred dollars .,you re bullshitting .
33400,i didn t think they even enforced this .,living proof .
33401,living proof .,i thought you never sold cigarettes to kids .
33402,i thought you never sold cigarettes to kids .,i don t you did .
33403,i don t you did .,really ?
33404,really ?,little girl . maybe five years old ?
33405,little girl . maybe five years old ?,holy shit . that girl ?
33406,then how come you got the fine ?,because i m here .
33407,because i m here .,you re lying .
33408,because i m happy .,you re happy ?
33409,you re happy ?,i m happy .
33410,i m happy .,you re happy to get a fine ?
33411,now i know you re lying .,i m not . she just left .
33412,i m not . she just left .,what did she say ?
33413,you re kidding .,i m not .
33414,i m not .,wow . you ve had quite an evening .
33415,you just fucked a total stranger ?,shut the fuck up !
33416,around three or something .,what time did we go to the funeral ?
33417,what time did we go to the funeral ?,i think four .
33418,this life .,this life ?
33419,this life ?,why do i have this life ?
33420,why do i have this life ?,have some chips you ll feel better .
33421,you should shit or get off the pot .,i should shit or get off the pot .
33422,it s the same thing with veronica .,leave her out of this .
33423,who re you kidding ? you can so .,jesus h . christ i can t !
33424,i thought i was doing you a favor .,thanks .
33425,how do you figure ?,what time did you get to work today ?
33426,what time did you get to work today ?,like ten after .
33427,to talk to you .,which means the video store is ostensibly closed .
33428,which means the video store is ostensibly closed .,it s not like i m miles away .
33429,you need a ride ?,got one . just pulled up .
33430,do you work tomorrow ?,same time . what about you ?
33431,helluva day .,to say the least .
33432,are you open ?,yes .
33433,yes .,just the paper .
33434,just the paper .,thirty fire .
33435,i d say about sixty seventy tops .,i know i can bench more than that !
33436,he s got those love handles .,i don t have love handles .
33437,caitlin bree . yeah ?,i m her sister .
33438,i m her sister .,you re alyssa s sister ? heather ?
33439,i am not .,how much can you bench ?
33440,how much can you bench ?,i don t know .
33441,did you say caitlin bree ?,yeah .
33442,no she s getting married .,to you ?
33443,go open the video store .,yeah you cock smoking clerk .
33444,the difference is you exploit a weakness .,what s that mean ?
33445,all right . how much is pepsi here ?,a dollar sixty nine plus tax .
33446,hey man what happened with that old guy ?,he died in the bathroom .
33447,you used to go out with her ?,we were going to start again i think .
33448,we were going to start again i think .,don t you already have a girlfriend ?
33449,don t you already have a girlfriend ?,veronica .
33450,i m sure he wasn t sleeping .,you calling me a liar ?
33451,you calling me a liar ?,no he was probably just resting his eyes .
33452,be careful .,i m trying .
33453,no he got hit by a bus .,oh . . . can i help you ?
33454,yeah okay . go ahead .,thanks son you re a lifesaver .
33455,at least they weren t lit .,i hate this fucking place .
33456,somebody jammed the locks with gum .,you re kidding .
33457,you re kidding .,bunch of savages in this town .
33458,i don t know like two thirty three .,what were you doing up so late ?
33459,what were you doing up so late ?,hunhh ? nothing .
33460,hunhh ? nothing .,what were you doing ?
33461,what ? what is that ?,she called you didn t she ?
33462,you re trusting .,why do you say that ?
33463,why ? you wanna have sex or something ?,ooh ! can we ? !
33464,ooh ! can we ? !,really ?
33465,really ?,i was kidding .
33466,typically male point of view .,how do you figure ?
33467,and i actually date you ?,something wrong ?
33468,how many ?,how many what ?
33469,how many what ?,how many girls have you slept with ?
33470,including you ?,it better be up to and including me .
33471,it better be up to and including me .,twelve .
33472,twelve .,you ve slept with twelve different girls ?
33473,you ve slept with twelve different girls ?,including you yes .
33474,what the hell was that for ?,you re a pig .
33475,you re a pig .,why d you hit me ?
33476,three .,three ?
33477,three ?,three including you .
33478,i m not the pig you are .,who ?
33479,who ?,you !
33480,you !,no who were the three besides me ?
33481,no who were the three besides me ?,john franson and rob stanslyk .
33482,animal vegetable or mineral .,vegetable meaning paraplegic .
33483,vegetable meaning paraplegic .,they put up the least amount of struggle .
33484,he requested this ?,he gets off on it .
33485,he gets off on it .,sylvan can be talked into anything .
33486,sylvan can be talked into anything .,why do you say that ?
33487,why do you say that ?,like you said she snowballed him .
33488,like you said she snowballed him .,sylvan ? no i snowballed him .
33489,sylvan ? no i snowballed him .,yeah right .
33490,yeah right .,i m serious . . .
33491,please calm down .,how many ?
33492,how many ?,dante . . .
33493,dante . . .,how many dicks have you sucked ? !
33494,how many dicks have you sucked ? !,let it go . . .
33495,let it go . . .,how many ?
33496,well . . . ?,something like thirty six .
33497,something like thirty six .,what ? something like thirty six ?
33498,what ? something like thirty six ?,lower your voice !
33499,um . thirty seven .,i m thirty seven ?
33500,i m thirty seven ?,i m going to class .
33501,i feel sick .,i love you . don t feel sick .
33502,what did he say ?,at least he wasn t thirty six .
33503,at least he wasn t thirty six .,and that made you feel better ?
33504,. . .it isn t there . yes .,thank you for being rational .
33505,thank you for being rational .,thank you for the lasagne .
33506,thank you for the lasagne .,you couldn t get these shutters open ?
33507,veronica i love you . . .,fuck you .
33508,you hold the counter and i ll pull .,usually i just turn the can upside down .
33509,usually i just turn the can upside down .,maybe we should soap your hand or something .
33510,i ll throw this out . precautionary measure .,it stings a little .
33511,you open ?,yes . i m not out of shape .
33512,i m not out of shape !,can i have your name please ?
33513,here you go .,what s this ?
33514,what s this ?,a fine for five hundred dollars .
33515,a fine for five hundred dollars .,what ?
33516,i didn t do that !,you said you were here all day ?
33517,he s your cousin ?,check this out he s from russia .
33518,check this out he s from russia .,no way .
33519,no way !,swear . olaf metal !
33520,that doesn t sound metal .,you gotta hear him sing . olaf berserker !
33521,come on man berserker !,does he sing in english or russian ?
33522,i do about three fifty four .,no way !
33523,no way !,feel that .
33524,feel that .,that s tight . solid .
33525,oh my god ! you re rick derris ?,yeah !
33526,sure . how about the beach ?,i like the way you think .
33527,i don t appreciate your ruse ma am .,i beg your pardon !
33528,i hope it feels good .,you hope what feels good ?
33529,you ll be missed .,screw you !
33530,i m not sad .,you re not ?
33531,which one ?,dental school .
33532,i have first dibs .,says who ?
33533,twenty bucks ?,twenty bucks .
33534,twenty bucks .,all right asshole you re on .
33535,i will . take it easy .,bye .
33536,bye .,bye that was snowball .
33537,that woulda been cool .,exactly cheesehead exactly .
33538,answer the man .,nothing just tourist souvenirs .
33539,c ?,more bang for the buck .
33540,did i hear somethin break ? outside left !,fuck you .
33541,jessie jessie copy ?,i copy .
33542,so what do you see ?,surprise me .
33543,surprise me .,what usually eats a banana ?
33544,what usually eats a banana ?,a monkey ?
33545,you know how the airlines are .,bags ?
33546,where are you walker ?,you re getting warmer !
33547,the money !,when she s safe !
33548,what the hell are you doing here ? !,i was with jessie she filled me in .
33549,there wasn t time for anything else .,we ll never know will we ?
33550,we ll never know will we ?,look it was a bad time for everybody .
33551,forget me . if you can get away .,would you ?
33552,what are we going to do ?,give him the money .
33553,i m going with you .,not on that leg .
33554,not on that leg .,take the gun .
33555,room service . . .hi sarah .,hi gabe .
33556,how re ya feeling ?,fine i guess . . .
33557,she s tough .,is it really four thousand ?
33558,can i count as fast as i like ?,sure you can .
33559,there you go .,one . . .
33560,two . . .,that s it you look like a professional .
33561,that s it you look like a professional .,three . . .
33562,four . . .five . . .,nice and easy . . .
33563,nice and easy . . .,six . . .
33564,do you see them yet ?,patience my love patience .
33565,patience my love patience .,that s a virtue isn t it ?
33566,gabe ? gabe where are you ?,just hangin out .
33567,a lot of things fell apart up there .,i know . . .
33568,i know . . .,i don t think you do .
33569,i don t expect you to understand .,i don t understand ?
33570,i don t understand ?,you couldn t .
33571,why are you yelling ?,excuse me ?
33572,excuse me ?,why are you yelling ?
33573,why are you yelling ?,did i miss something ?
33574,resuscitation ?,mouth to mouth which could maybe . . .
33575,mouth to mouth which could maybe . . .,which could maybe what ?
33576,which could maybe what ?,maybe lead to a flare up . . .
33577,maybe lead to a flare up . . .,a flare up . . .
33578,a flare up . . .,flare up of old emotions . . .
33579,where ?,it doesn t matter anywhere but here .
33580,he can handle it .,what if he can t ?
33581,gabe ! ?,what are you doing here ! ?
33582,you got to go back now !,where s hal what s going on ?
33583,for the same reason you did to help .,yeah let s go .
33584,let s be creative .,excuse me ?
33585,take off and meet me at eagle cave .,what about you ?
33586,what about you ?,don t worry about me just go .
33587,call me sentimental .,remember the first time we came up here ?
33588,remember the first time we came up here ?,of course i do .
33589,of course i do .,it was great .
33590,it was great .,you attacked me .
33591,gabe . . .your arm ?,yeah ?
33592,a simple yes or no would have done .,want me to lead ?
33593,want me to lead ?,cute .
33594,nice view huh ?,breathtaking .
33595,gabe ! are you alright ?,no not really . throw down a rope .
33596,can you see light ?,up ahead .
